name,solver,nx,dt,D,p,q,elapsed
crank-nicolson_nx100_dt0.0001_D0.01_p0.01_q1.0,crank-nicolson,100,0.0001,0.01,0.01,1.0,0.02215779199999801
crank-nicolson_nx100_dt0.0001_D0.1_p0.001_q5.0,crank-nicolson,100,0.0001,0.1,0.001,5.0,0.02209687500000257
crank-nicolson_nx100_dt0.0001_D1.0_p0.1_q10.0,crank-nicolson,100,0.0001,1.0,0.1,10.0,0.022745832999998328
crank-nicolson_nx100_dt5e-05_D0.01_p0.01_q1.0,crank-nicolson,100,5e-05,0.01,0.01,1.0,0.04483516700000223
crank-nicolson_nx100_dt5e-05_D0.1_p0.001_q5.0,crank-nicolson,100,5e-05,0.1,0.001,5.0,0.04367225000000019
crank-nicolson_nx100_dt5e-05_D1.0_p0.1_q10.0,crank-nicolson,100,5e-05,1.0,0.1,10.0,0.044191416999996846
crank-nicolson_nx200_dt0.0001_D0.01_p0.01_q1.0,crank-nicolson,200,0.0001,0.01,0.01,1.0,0.030158917000001395
crank-nicolson_nx200_dt0.0001_D0.1_p0.001_q5.0,crank-nicolson,200,0.0001,0.1,0.001,5.0,0.03009370800000255
crank-nicolson_nx200_dt0.0001_D1.0_p0.1_q10.0,crank-nicolson,200,0.0001,1.0,0.1,10.0,0.030170709000000073
crank-nicolson_nx200_dt5e-05_D0.01_p0.01_q1.0,crank-nicolson,200,5e-05,0.01,0.01,1.0,0.059079167000000155
crank-nicolson_nx200_dt5e-05_D0.1_p0.001_q5.0,crank-nicolson,200,5e-05,0.1,0.001,5.0,0.05957645899999875
crank-nicolson_nx200_dt5e-05_D1.0_p0.1_q10.0,crank-nicolson,200,5e-05,1.0,0.1,10.0,0.059207791999998705
